epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,138.18,2.71194,4.26103,3.56906,2.59964,0,0.00082,0.08108,0.00048,0.00014,0.00073,0.00895,0.00031,7e-05,3.90418,9.48965,26.2109,10.175,0,0.00332487,0.00332487,0.0700761
2,265.591,2.61508,3.88959,3.48305,2.64236,0,0.53687,0.04554,0.01295,0.00315,0.5353,0.04649,0.01198,0.00263,2.9709,4.31263,6.46215,3.10905,0,0.00663623,0.00663623,0.0400542
3,403.055,2.50658,3.83362,3.39757,2.53936,0,0.75809,0.01996,0.0046,0.00128,0.75858,0.01046,0.00174,0.00036,3.30409,5.15112,5.337,4.45842,0,0.0099256,0.0099256,0.0100102
4,546.467,2.44549,3.79771,3.35342,2.47388,0,0.78473,0.02662,0.01461,0.0057,0.7955,0.02376,0.01199,0.00508,2.75652,3.87163,5.8366,3.00535,0,0.009901,0.009901,0.009901
5,672.007,2.33814,3.65681,3.26881,2.36268,0,0.84354,0.05608,0.05158,0.01758,0.83091,0.04658,0.03957,0.01317,2.47859,3.89855,3.59559,2.61762,0,0.009868,0.009868,0.009868
6,793.201,2.291,3.60291,3.12818,2.31991,0,0.58991,0.05228,0.04961,0.01998,0.58387,0.04848,0.03778,0.01352,2.4587,3.52712,3.47135,2.48828,0,0.009835,0.009835,0.009835
7,916.035,2.27666,3.49836,3.10066,2.28535,0,0.86162,0.04563,0.05596,0.01903,0.86089,0.04373,0.04951,0.01665,2.45947,3.53886,3.70013,2.53497,0,0.009802,0.009802,0.009802
8,1039.77,2.23715,3.49001,3.06134,2.2519,0,0.84239,0.06179,0.06147,0.0239,0.82902,0.05931,0.05357,0.02035,2.33358,3.33328,3.48767,2.36965,0,0.009769,0.009769,0.009769
9,1162.58,2.21012,3.4756,3.01574,2.20781,0,0.34941,0.0842,0.05539,0.01946,0.36667,0.08157,0.05209,0.0175,2.52947,3.38239,3.48237,2.60529,0,0.009736,0.009736,0.009736
10,1283.68,2.16746,3.344,2.95809,2.18417,0,0.64315,0.06543,0.0891,0.03979,0.63128,0.05863,0.08274,0.03363,2.29962,3.33665,3.26226,2.3643,0,0.009703,0.009703,0.009703
